x,y,arg
-8.713062,15.4740925,0
8.457666,-0.2709103,0
3.9686308,17.174263,0
9.877012,11.887101,2
20.088097,9.18493,0
-1.6465423,1.2364813,1
13.194319,-0.9902178,2
-1.8877635,10.777423,0
-19.55514,7.8147416,0
16.274143,18.073153,0
14.694339,3.4179807,0
5.396204,9.946273,0
11.861403,7.5159926,2
14.721805,12.471552,0
-1.5322692,-9.9624815,1
11.865825,-2.5103476,1
18.15488,-6.257795,2
22.16735,-3.823683,1
-5.125206,-9.244531,1
11.270198,-2.0289907,1
4.065743,-1.6392639,1
2.0312018,-8.9937725,2
-1.762815,12.547551,1
-12.127616,-3.1585002,1
6.112617,-15.847245,1
5.7554307,-6.743008,1
-1.9754922,-1.745805,1
8.4617405,-3.0582364,2
15.742999,-4.163831,1
-3.5961719,20.310251,0
12.282347,19.297686,0
3.179904,19.461449,0
3.4391396,10.383772,0
19.874582,-1.6377442,2
13.220524,15.415822,1
-5.6812963,-5.90468,1
7.8648953,-11.048231,1
9.940792,-9.427786,1
2.0864065,2.0204594,2
17.35529,11.7414665,1
-7.4400415,3.383437,0
6.4637713,0.6057675,2
-2.980369,7.550077,1
-2.6619637,-7.9522276,1
12.093655,-2.4559953,1
3.4950264,0.22991125,2
16.26574,8.649053,2
-16.073473,5.114584,0
14.790745,19.110964,0
15.191337,3.8595183,0
9.385226,16.913162,0
11.539494,7.7009306,2
16.541994,14.853376,2
5.8456054,3.1177394,2
-0.29677176,12.172345,2
-13.048317,-1.2442352,1
7.614214,-14.433908,1
5.2964993,-6.4663563,1
-2.6138453,-1.501663,1
8.473423,-2.8664398,2
20.87747,6.3014555,2
-1.4925925,-9.989863,1
19.861176,-9.504979,1
16.697674,-12.180333,2
23.525282,1.8015633,2
-1.779017,-8.216662,1
11.733508,-12.281777,1
-0.24059814,16.073154,2
16.06332,8.444467,2
-6.789404,3.0195537,0
6.3067923,-0.15169367,2
-3.26784,7.8577394,0
-2.6622534,-15.846019,1
11.5288515,-2.721121,1
3.6974823,-0.053070575,2
16.429277,8.815398,1
-13.9411955,16.943535,0
8.042998,1.6741891,0
9.723563,7.4446845,2
18.965937,14.862229,0
-13.535848,16.521185,0
7.135912,1.3125046,0
9.138162,7.5093384,2
-1.3476644,9.642067,2
-6.881022,-9.439666,1
9.38988,4.0414915,1
14.743938,-6.0652905,1
2.3458557,4.891352,1
1.5503922,0.093265936,2
16.961287,-2.0649807,2
-3.6632855,1.7239641,1
5.8700366,6.486015,1
5.4112263,-6.7318974,1
3.11281,-7.447551,1
2.3380408,1.1170129,2
-9.45664,7.5438676,1
-8.120782,9.0381365,2
-9.2119,12.9715395,0
-6.280584,10.250093,0
7.228282,2.6219552,2
-2.5152407,8.439777,0
-6.967078,11.174802,0
10.139674,1.4239475,0
16.875097,0.9125643,0
12.23816,3.812862,2
-0.0138052115,17.793726,0
0.6193628,18.916536,0
5.3616366,21.704975,0
4.031261,19.150806,0
2.7823555,9.699181,2
1.5143524,15.087295,1
-13.299387,3.0449214,0
17.04344,5.605827,0
7.686033,7.7586784,2
19.095901,14.715763,0
-13.89017,16.890825,0
8.050723,1.6610284,0
9.743277,7.4382873,2
18.98226,14.843222,0
-13.824164,4.8837132,0
11.281701,2.2691352,0
14.949904,2.7456832,0
3.6140547,9.549633,0
6.853382,3.5727484,2
14.506795,11.120347,0
4.379932,2.8087034,2
-5.2943425,5.2164693,0
-11.172738,0.32720706,2
-0.3015928,11.151286,1
-10.441324,0.25296244,2
-0.3455332,11.2760105,1
-7.761358,22.836342,0
10.1087475,1.3921072,0
3.4704378,16.82763,0
10.199077,12.828264,2
23.261787,13.860518,0
-3.994221,20.75284,0
5.510909,21.04894,0
3.491037,19.35775,0
3.2977893,10.526967,2
23.345406,13.991912,0
-12.147239,7.6070957,1
5.668396,6.32797,1
10.566142,-4.722769,1
1.9064403,4.270012,1
2.2143443,0.45037994,0
5.491859,2.6161592,1
5.614288,2.625144,2
-1.4442545,11.415055,2
-8.438937,15.290171,0
8.464414,-0.16385093,0
3.6065133,16.806982,0
9.881918,11.934248,2
20.019253,9.226264,0
-5.5721855,16.62875,0
11.113548,2.1433666,0
2.7690997,17.177935,0
3.489406,9.415558,0
6.83361,3.5670652,2
14.445353,11.213389,0
-8.148957,-8.238402,1
11.806055,-2.5685735,1
3.647298,0.12672,2
16.37243,8.753812,1
3.550384,-11.502576,1
5.216009,6.114488,1
